date;stationID;typeflag
01/05/2024 02:28:29 PM;WDR 2;Werbung
01/05/2024 02:29:20 PM;BAYERN 1;Werbung
01/05/2024 02:50:06 PM;BremenNext;Werbung
01/05/2024 02:55:20 PM;1Live;Werbung
01/05/2024 02:57:26 PM;1Live;Werbung
01/05/2024 02:57:31 PM;1Live;Werbung
01/05/2024 02:58:22 PM;WDR 2;Werbung
01/05/2024 02:58:27 PM;WDR 2;Werbung
01/05/2024 03:26:19 PM;BremenNext;Werbung
01/05/2024 03:28:13 PM;WDR 2;Werbung
01/05/2024 03:29:02 PM;BAYERN 1;Werbung
01/09/2024 08:55:12 AM;BremenNext;Werbung
01/09/2024 08:58:49 AM;WDR 2;Werbung
01/09/2024 09:29:19 AM;WDR 2;Werbung
01/15/2024 19:27:33;Antenne AC;start_of_ad
01/15/2024 19:30:01;Antenne AC;end_of_ad_artificial
01/15/2024 19:30:24;100,5;start_of_ad
01/15/2024 19:33:01;100,5;end_of_ad_artificial
01/15/2024 19:56:03;Antenne AC;start_of_ad
01/15/2024 19:56:11;Radio RST;start_of_ad
01/15/2024 19:59:02;Radio RST;end_of_ad_artificial
01/15/2024 19:59:02;Antenne AC;end_of_ad_artificial
01/16/2024 09:35:56;Radio RST;start_of_ad
01/16/2024 09:36:02;Antenne AC;start_of_ad
01/16/2024 09:38:02;Radio RST;end_of_ad_artificial
01/16/2024 09:39:05;Antenne AC;end_of_ad_artificial
01/16/2024 09:39:21;WDR 2;start_of_ad
01/16/2024 09:40:43;BAYERN 1;start_of_ad
01/16/2024 09:42:02;WDR 2;end_of_ad_artificial
01/16/2024 09:43:01;BAYERN 1;end_of_ad_artificial
01/16/2024 09:55:09;BremenNext;start_of_ad
01/16/2024 09:55:19;BremenNext;end_of_ad
01/16/2024 09:59:51;Antenne AC;start_of_ad
01/16/2024 09:59:55;Antenne AC;end_of_ad_artificial
01/16/2024 09:59:59;Radio RST;start_of_ad
01/16/2024 10:01:47;1Live;start_of_ad
01/16/2024 10:02:04;Radio RST;end_of_ad_artificial
01/16/2024 10:06:22;WDR 2;start_of_ad
01/16/2024 10:09:05;WDR 2;end_of_ad_artificial
01/16/2024 10:27:25;Radio RST;start_of_ad
01/16/2024 19:42:15;BAYERN 1;start_of_ad
01/16/2024 19:42:15;Radio RST;end_of_ad_artificial
01/16/2024 19:42:16;100,5;start_of_ad
01/16/2024 19:42:17;Antenne AC;start_of_ad
01/16/2024 19:42:19;Radio RST;start_of_ad
01/16/2024 19:42:22;WDR 2;start_of_ad
01/16/2024 20:30:03;1Live;end_of_ad
01/16/2024 20:30:22;1Live;start_of_ad
01/16/2024 20:30:33;BremenNext;start_of_ad
01/16/2024 20:30:36;1Live;end_of_ad
01/16/2024 20:30:45;1Live;start_of_ad
01/16/2024 20:30:51;BremenNext;end_of_ad
01/16/2024 20:31:00;1Live;end_of_ad
01/16/2024 20:33:04;BremenNext;end_of_ad
01/16/2024 20:33:13;BremenNext;start_of_ad
01/16/2024 20:33:27;BremenNext;end_of_ad
01/16/2024 20:33:31;BremenNext;start_of_ad
01/16/2024 20:33:53;BremenNext;end_of_ad
01/16/2024 20:34:07;BremenNext;start_of_ad
01/16/2024 20:34:24;BremenNext;end_of_ad
01/16/2024 20:34:26;1Live;end_of_ad
01/16/2024 20:34:30;1Live;start_of_ad
01/16/2024 20:34:46;BremenNext;start_of_ad
01/16/2024 20:35:08;1Live;end_of_ad
01/16/2024 20:35:13;1Live;start_of_ad
01/16/2024 20:35:31;BremenNext;end_of_ad
01/16/2024 20:35:40;1Live;end_of_ad
01/16/2024 20:35:45;1Live;start_of_ad
01/16/2024 20:36:22;1Live;end_of_ad
01/16/2024 20:36:59;1Live;start_of_ad
01/16/2024 20:37:13;1Live;end_of_ad
01/16/2024 20:37:32;1Live;start_of_ad
01/16/2024 20:37:40;BremenNext;start_of_ad
01/16/2024 20:37:50;1Live;end_of_ad
01/16/2024 20:38:18;1Live;start_of_ad
01/16/2024 20:38:20;BremenNext;end_of_ad
01/16/2024 20:38:28;BremenNext;start_of_ad
01/16/2024 20:38:32;1Live;end_of_ad
01/16/2024 20:38:37;1Live;start_of_ad
01/16/2024 20:38:42;BremenNext;end_of_ad
01/16/2024 20:38:51;1Live;end_of_ad
01/16/2024 20:39:18;BremenNext;start_of_ad
01/16/2024 20:40:20;BremenNext;end_of_ad
01/16/2024 20:40:24;1Live;start_of_ad
01/16/2024 20:41:01;1Live;end_of_ad
01/16/2024 20:41:04;BremenNext;start_of_ad
01/16/2024 20:41:15;1Live;start_of_ad
01/16/2024 20:41:31;BremenNext;end_of_ad
01/16/2024 20:41:35;BremenNext;start_of_ad
01/16/2024 20:41:48;1Live;end_of_ad
01/16/2024 20:41:53;BremenNext;end_of_ad
01/16/2024 20:41:58;1Live;start_of_ad
01/16/2024 20:42:37;BremenNext;start_of_ad
01/16/2024 20:42:51;BremenNext;end_of_ad
01/16/2024 20:43:04;BremenNext;start_of_ad
01/16/2024 20:43:17;BremenNext;end_of_ad
01/16/2024 20:43:44;BremenNext;start_of_ad
01/16/2024 20:43:57;BremenNext;end_of_ad
